Oc,media_erro,var_erro,desvio_padrao_erro
0,-80.17099263034973,6419731239.602199,80123.22534447923
10,-18.990456825497024,817301936.6540867,28588.49308120466
20,-150.2989085710011,13882950869.66727,117825.9346225069
30,-12.330247011759928,197765730.50736246,14062.92041175525
40,-3.5489689943992637,46955041.58364096,6852.3748863909195
50,-6.344714923887813,89090130.87593332,9438.756850133037
60,1.6484419715911474,436654022.49388427,20896.268147539748
70,27.367454006157832,405571544.0785449,20138.80691795184
80,45.324898677528616,1959456951.2247567,44265.753706728596
90,13.217409621798668,864982199.3489819,29410.579718002533
100,-2.459236293707645,334602174.9957267,18292.134238402217
