Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906716208775,0.14258310069528157,0.3776017752808924
10,7.754714285546431,470.8738220559316,21.699627233110057
20,-14.587027879341619,901.4682170375806,30.02446031217848
30,-37.05909474980338,1261.417471460855,35.51643945359466
40,-59.44653372406539,1573.6773473535886,39.66960230899207
50,-81.76719724098425,1855.7085114432357,43.07793532010599
60,-104.21281013495962,2096.8261417879226,45.79111422304466
70,-126.73426051505271,2271.5049603717353,47.66030801801154
80,-149.11207987005756,2397.805868517338,48.967395974437295
90,-171.3835608914469,2485.990966246507,49.85971285764196
100,-193.69020061475146,2522.24442347539,50.22195160958393
