Oc,media_erro,var_erro,desvio_padrao_erro
0,-19.115457343673693,114236812.7458399,10688.16227168356
10,482.33450439397393,228882281873.48956,478416.4314417823
20,14.186539156469145,98313037.58532298,9915.293116460198
30,452.34190453294724,194859654213.49387,441429.10440238746
40,-10.826439977427823,196955160.42272326,14034.071412912337
50,1.993002680474694,271529637.1165234,16478.156362788992
60,8.994472736648126,498019067.2281924,22316.34081179512
70,71.94689168090164,5740943766.657342,75769.01587494285
80,10.866904339132997,170097459.80299166,13042.141687736399
90,-3.5180936573690196,508932756.7490237,22559.538043785906
100,24.333353896391998,693112490.8157529,26327.029661846642
