Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090633803782,0.1632942231072937,0.4040967991797184
10,7.754728029711671,523.3051326136995,22.875863538098393
20,-14.586996105492394,1001.8751467770705,31.65241138960933
30,-37.05911917638506,1403.7636149000314,37.466833531805584
40,-59.44653027662498,1750.3453471792504,41.83712881137101
50,-81.7672730792667,2062.440972754025,45.41410543822288
60,-104.21274023666453,2329.8974889649285,48.269011684153305
70,-126.73412486916702,2526.796154749673,50.26724733611015
80,-149.11191673816452,2667.844483569877,51.65118085358627
90,-171.38361317106487,2765.264992367008,52.58578698058067
100,-193.69030709528437,2805.2528728495586,52.96463794693171
