Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090667342215,0.23028341625329035,0.47987854323077456
10,7.7547344421864395,769.2573574863471,27.735489133713635
20,-14.586997739898603,1469.7826365403735,38.3377442808047
30,-37.059156677462596,2067.587778728231,45.47073541002203
40,-59.446539435958876,2576.494364856142,50.75918010425446
50,-81.76730668107204,3027.2463058279577,55.02041717242753
60,-104.21259944706456,3421.5739225833754,58.49422127512576
70,-126.73396441570627,3714.368398627522,60.945618371032396
80,-149.11159604434977,3924.4878405054883,62.64573281960622
90,-171.38369344260042,4056.5202644267233,63.69081774028909
100,-193.6905006469074,4114.955438937494,64.14791843027717
