Oc,media_erro,var_erro,desvio_padrao_erro
0,-1.2984576905191115e-06,2.056431783728517,1.434026423650735
10,9.94710697563524,345.32485626062567,18.58291839998835
20,19.93819464990299,647.2578918125048,25.441263565564206
30,29.987041610613364,916.715827470629,30.277315394047555
40,39.996525286282036,1164.0775756763876,34.1185810911941
50,49.97916970161479,1391.6919634245153,37.305387860529144
60,60.01440860781609,1605.890904278563,40.073568649155305
70,70.08473709255532,1793.4227400978862,42.34882218076302
80,80.09152751437752,1954.2961273165354,44.207421631628044
90,90.05217588720208,2091.9721401045545,45.738081946060596
100,100.02533654916277,2209.0404375907333,47.00043018516674
