Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906717236866,0.38937865781211,0.6240021296535053
10,7.754745144143486,943.9318493431315,30.723473913981984
20,-14.587059092138766,1808.1964674378578,42.52289345091486
30,-37.0591626347994,2541.0190448390085,50.408521549823384
40,-59.44662039943318,3164.0729785505755,56.250093142594665
50,-81.76740684443288,3721.829947311304,61.006802467522455
60,-104.21245599359169,4203.206474382143,64.83214075119025
70,-126.73386697849635,4570.712009821654,67.60704112606655
80,-149.1113423953866,4820.985349546609,69.43331584726894
90,-171.3839345513934,4988.783400692172,70.63132025307308
100,-193.69047550564824,5075.175990898068,71.24026944711866
