n_ocupacao,media_MAE,var_MAE,DP_MAE
0,1.046491017559319,0.010969408041315534,0.10473494183564305
10,12.877821194011368,1.7301971337584592,1.3153695806724661
20,22.448508665358073,5.202045956280121,2.280799411671294
30,32.07873180346551,10.439686026419347,3.2310502977235354
40,41.672178541889345,17.507564422312836,4.184204156385397
50,51.24278930465736,26.25234328162527,5.123704058747467
60,60.86060531292919,37.11036315881839,6.091827571330166
70,70.50466202841027,49.67116312285745,7.047777176022057
80,80.16208022316222,64.03783486005413,8.002364329375046
90,89.85942775702898,80.47112741592098,8.970570071958692
100,99.56779877926833,98.5694671324767,9.928215707390564
