n_ocupacao,media_MAE,var_MAE,DP_MAE
0,1.0763847672618365,0.011598690920727054,0.10769721872326626
10,31.352928424267585,10.324057744931991,3.2131071791852808
20,52.29173020875233,28.211548371879697,5.311454449760413
30,68.02205465973003,46.99948442798379,6.855616998344043
40,80.6302077193578,65.78586717374898,8.110848733255292
50,91.02684260521522,83.1221350876054,9.117134148821405
60,100.18860393908187,100.7150667194511,10.035689648422329
70,108.36407899135246,117.6289317405864,10.845687241506939
80,115.7873191834655,133.8311681187288,11.568542177765044
90,122.57846874826541,150.14292603329218,12.253282255513914
100,129.1517280458093,166.4697524837819,12.902315779881606

