n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.737387536326644,0.03100679386156907,0.17608746083003488
10,369.2554136367089,1706.6107660391574,41.31114578463247
20,897.227153877501,9339.560152940363,96.64139978777399
30,1605.4529206084082,28025.160217387926,167.4071689545819
40,2497.467089433122,66098.29815201098,257.09589291159625
50,3566.346780567089,130771.56100104183,361.62350725726037
60,4829.5407054443285,240653.47831367512,490.5644486850582
70,6270.929856601841,401475.7481103831,633.6211392546678
80,7892.7353449108505,630952.6869345077,794.325302967561
90,9690.203021896838,948561.7906310934,973.9413691958533
100,11669.640419917196,1366657.9197502553,1169.0414533925884
