n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.8377416022189947,0.0346452715840082,0.18613240336923662
10,2765.0063748022912,93572.06000827531,305.8955050475167
20,5471.739306377703,342828.8988325734,585.5159253449674
30,8087.715314189202,716939.5490491544,846.7228289405892
40,10633.432515072978,1225492.25070507,1107.0195349247772
50,13060.767343317346,1786637.2347925757,1336.6515008754434
60,15476.566510450448,2507404.803988656,1583.478703358102
70,17793.389776031112,3298841.237687674,1816.2712456259594
80,20032.333839584848,4117586.23658539,2029.1836379651274
90,22140.3881348431,5003989.010141062,2236.9597694507297
100,24211.572419644865,5979656.525437024,2445.3336225220933
