n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,-1.4606012922955862,0.006295286558153615,0.07934284188352227
20,-1.4168061565765193,0.023048437406198562,0.15181711829104966
30,-1.351556114524558,0.01803690041523756,0.1343015279705989
40,-1.275840903674132,0.010182501700818783,0.10090838270836959
50,-1.209611608333281,0.0024960222611968372,0.049960206776962376
60,-1.1446720575574225,0.0023765435059397715,0.04874980518873662
70,-1.0788518480288254,0.0023038601235027796,0.04799854293103885
80,-1.0165143446524791,0.0018132104735278643,0.042581809185705866
90,-0.9305110303336386,0.00949192623724899,0.09742651711545985
100,-0.8598298039476843,0.012545506797020883,0.11200672657042024
