n_ocupacao,media_DP,var_DP,DP_DP
0,12136.573457865585,1132933425.323407,33659.0764181581
10,7204.356417633628,367605977.2382567,19173.053414577884
20,7848.4810719623965,416775634.627294,20415.083507722764
30,4388.206317936938,39025678.17336489,6247.05355934819
40,7038.52527432866,732794971.5072956,27070.186026462685
50,7323.504886805857,262107272.54627806,16189.727377144993
60,25339.547713251988,42643276735.18064,206502.48602663513
70,4274.994238976004,40299906.017345406,6348.220696962686
80,11918.557559005114,2493143180.7386675,49931.38472682955
90,324743.6019092968,10251802081467.66,3201843.5441894503
100,5987.611018729435,133944471.37168081,11573.438182825395
