n_ocupacao,media_MAE,var_MAE,DP_MAE
0,259.8516516146039,65353.03602092375,255.64239871532214
10,163.58008706076683,20564.606069335787,143.40364733623684
20,165.87995002887683,22552.124516844036,150.17364787752888
30,141.37783813393162,2888.19601837644,53.741939101380034
40,159.9249398183842,38207.46344930715,195.4672950887364
50,170.1767358036616,14739.089949277719,121.4046537381402
60,304.78250622418193,2134523.9663042235,1461.0010151619415
70,162.72295049365954,3082.620080894985,55.521347974405174
80,225.90159404676996,132181.99107121764,363.5684131923697
90,2445.245983253887,512702331.2664931,22642.931154479385
100,200.84396386552925,8545.41106627067,92.44139260239793
