n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1280229840.621577,1.1846744386988578e+20,10884275073.236883
10,419508728.630556,1.0320176521583522e+19,3212503155.1087265
20,478374289.7642444,1.2649118698799182e+19,3556559952.9319315
30,58282032.86214663,4.221615490509639e+16,205465702.50310972
40,782335809.544651,4.767147509798624e+19,6904453280.165362
50,315740996.37334865,3.0187025352625705e+18,1737441376.0649798
60,43285369413.491844,1.865757090460644e+23,431944104076.05334
70,58575481.760623425,6.142187742474411e+16,247834374.98608646
80,2635195195.025989,4.338887616836053e+20,20829996679.875042
90,10357260488447.65,1.0727092858049574e+28,103571679807028.2
100,169795957.08329085,5.4496257679659194e+17,738215806.3849567
