n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,-37.424269948108126,81.02363368416368,9.001312886694011
20,-34.5351942979111,89.70271580884429,9.47115176780756
30,-30.758061738506175,60.98441626505776,7.809251965781215
40,-28.950860954452597,85.86337568645257,9.266249278238341
50,-29.684329648491296,102.39852021886124,10.11921539541783
60,-27.78604211547282,109.76538634273138,10.476897744214714
70,-26.857945783138792,63.048759296037325,7.94032488605078
80,-27.170764125233475,115.09993814270491,10.728463922794582
90,-25.907783665424446,143.65355967402883,11.985556293890944
100,-26.03345313756907,84.30429264134173,9.181736907652153
