n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0028948650209181365,2.0552858415214778e-06,0.0014336268138959588
10,11.429597583527327,1.3557143273970163,1.1643514621440625
20,15.511091168122498,2.4952826693771617,1.5796463747868261
30,17.721828425102093,3.220043674417542,1.794448013852043
40,19.19939612800012,3.7751337725438803,1.9429703478292921
50,20.21170834779072,4.203881802831002,2.0503369973814065
60,20.7956306405214,4.4780301621446075,2.1161356672351155
70,21.29310826638534,4.667800788339686,2.1605093816828673
80,21.605889424081653,4.7579882163367895,2.1812813244368066
90,21.823948882873584,4.908456954686801,2.2155037699554474
100,21.824724973331072,4.930210260223956,2.2204076788337668
