n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.026757964784399815,0.0003561156066561227,0.018871025585699433
10,1749.3287875613453,41974.548548870756,204.8769107265891
20,2551.4373019284194,93607.91803525374,305.9541109958383
30,3166.198879011267,146039.13418611482,382.150669482751
40,3676.2556753684944,189540.5886813638,435.3625944903441
50,4099.263755349562,238543.81000211404,488.40946960733066
60,4394.201021701685,288095.77237682097,536.7455378266511
70,4655.240916664351,329269.24288300046,573.8198697178414
80,4817.967274330959,307699.0023245994,554.7062306524052
90,4976.659547382346,358290.4768008607,598.5737020625453
100,4968.10078800532,352954.9003152064,594.1000760100998
