n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-38.52745837762862,0.13570203550907967,0.3683775719409091
20,-37.044086344003574,0.6872107065080051,0.8289817286937059
30,-36.2932709761325,0.09477202800076504,0.3078506586005056
40,-35.71103647740555,0.10396889717493997,0.3224420834428099
50,-35.19055569806872,0.08714533283316182,0.2952038834994584
60,-34.69416780195738,0.10251969272040634,0.3201869652568735
70,-34.2789022676767,0.09885734118849433,0.31441587299068463
80,-33.84145861714379,0.07854450015548678,0.2802579172039334
90,-33.39496077247677,0.8221006029867126,0.9066976359220932
100,-33.02196834771348,0.0854851859454177,0.2923784977480692
