n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,325.47323121777293,6023.749114674591,77.61281540231994
20,1392.4393862214251,65757.64676858224,256.4325384357107
30,2850.8068929793635,179796.52567751938,424.02420411754724
40,4728.439377346376,353337.3253606187,594.4218412546924
50,6816.654240670931,699703.7732300566,836.4829784460989
60,9069.935239772327,1194694.254868896,1093.0207019397646
70,11491.685623484995,1743972.161949886,1320.5953816176573
80,14061.866308133642,2409218.5903931805,1552.1657741340582
90,16232.64390829369,3306894.3571925787,1818.4868317347198
100,18290.783024847755,3960482.2861959166,1990.0960494900532
