n_ocupacao,media_DP,var_DP,DP_DP
0,29.726755697120264,7.707745126980493,2.7762826093502246
10,26.720083323780187,6.320345763484941,2.514029785719521
20,38.166175848017986,14.13101743514404,3.759124557013779
30,55.76369701146807,29.176806203412333,5.4015559057934714
40,75.31189416558995,50.79059907088256,7.126752350887644
50,95.58958378475056,81.1914427000231,9.010629428626121
60,116.45548380396723,119.08796388562277,10.912743187925884
70,137.38283369482116,168.35610324490673,12.975211105986165
80,158.471769156608,219.78034284231234,14.824990483717428
90,179.53371095383278,285.08230588506365,16.88438053009537
100,200.70880201992762,341.3047074870078,18.474433888133294
