n_ocupacao,media_EME,var_EME,DP_EME
0,29.705373493122504,8.751408081088526,2.9582778911198533
10,7.632535859834299,1.0038496511421482,1.001922976651473
20,-14.466489381396793,2.9128061341304763,1.706694505214825
30,-36.63177615077522,14.368240372006762,3.7905461838641092
40,-58.78176946403399,35.54879792991623,5.962281268936936
50,-80.92504687254699,66.00174045884188,8.124145521766698
60,-103.14439070716199,107.38651573085212,10.36274653414104
70,-125.33709616415042,157.55242823507407,12.551989015095339
80,-147.49301062976141,217.28923630577577,14.740733913403897
90,-169.5985543688373,287.223880025454,16.947680668028116
100,-191.68352619124207,365.72776615888,19.12401020076281
