n_ocupacao,media_MAE,var_MAE,DP_MAE
0,29.705433276288037,8.747887483846423,2.9576827895916127
10,21.9263690947622,4.856372567635487,2.2037178965637794
20,27.2625566259764,7.7994246652507835,2.792745005411483
30,41.338567059453965,17.762608105905237,4.214570927853183
40,60.217341801403464,37.070760745821524,6.088576249487357
50,81.26997845253396,66.4946622109567,8.154425927737446
60,103.20997466949747,107.46959379463155,10.366754255533964
70,125.34487027085991,157.5067951446511,12.550171120134223
80,147.49367069667136,217.2372083708878,14.738969040298842
90,169.59896387392644,287.11629091443416,16.944506216306042
100,191.68403796656332,365.5527609536946,19.119434116984074
