n_ocupacao,media_MSE,var_MSE,DP_MSE
0,891.3378600757891,7879.816152727223,88.76832854530507
10,526.631765499034,3236.169669190139,56.88734190652732
20,1101.7041101389805,16273.817028899222,127.56887170818445
30,2614.305734648512,81684.66440556354,285.8052910734221
40,5067.486193307124,284267.4139342052,533.1673413987444
50,8452.828041458231,753719.9139632323,868.1704406182189
60,12819.890470370878,1737952.0479834666,1318.3140930686689
70,18110.18106483224,3389904.811194004,1841.1694140393502
80,24345.303302158856,6051647.275924452,2460.0096089089675
90,31502.035789698282,10102462.22642945,3178.4370729069733
100,39595.861110622194,15800691.393296214,3975.0083513492414
