n_ocupacao,media_MSE,var_MSE,DP_MSE
0,891.3877494032515,7877.493028147768,88.7552422572761
10,720.2831985932414,6019.712100809142,77.58680365119535
20,1470.7879962969748,27712.774916870243,166.47154386522112
30,3138.7667105902237,115578.26649262957,339.9680374573903
40,5722.672001879904,360393.6811845149,600.3279780124485
50,9218.559970841865,895279.9449527729,946.1923403583295
60,13680.9676719017,1977437.650120744,1406.2139418028623
70,19042.39909726379,3746351.935266536,1935.5495176477755
80,25333.08196246755,6550689.544265059,2559.4314884882265
90,32517.435674739452,10760814.663878156,3280.3680683542443
100,40625.3279157615,16621897.723465122,4076.9961642691205
