n_ocupacao,media_SNR,var_SNR,DP_SNR
0,0.2354855183673738,5.59414383973414,2.365194249894528
10,2.5169146132309703,5.266962584433034,2.2949864017969768
20,-0.6485818339533989,7.104075714719707,2.665347203408912
30,-4.41219601727171,6.678352667643324,2.584250891001747
40,-7.312413975134345,5.479918249835393,2.3409225211090163
50,-9.533330340146836,5.578549413855754,2.3618953012053168
60,-11.350028746705373,5.207763733317468,2.282052526415084
70,-12.835969153725095,5.91328257031505,2.431724197008174
80,-14.132083234790038,5.388518319364004,2.3213182288010414
90,-15.243562486295037,5.759766205097434,2.3999512922343724
100,-16.25847692443759,4.7604195868650425,2.1818385794703152
