n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-0.0011176383908608636,1.1546277005306611e-05,0.003397981313266247
10,0.9092916222637483,0.06779953052789361,0.2603834298258889
20,-2.1495281748251136,0.09512581795453054,0.3084247362883375
30,-5.448331082717009,0.05938759704671925,0.24369570584382327
40,-8.076835514967529,0.02075350361417748,0.14406076361791742
50,-10.145141788132115,0.011490077499209196,0.10719177906541712
60,-11.867405350565502,0.01746231990548412,0.13214507143849186
70,-13.289853795781632,0.012605685324433076,0.1122750431949731
80,-14.539800382298298,0.0064317899551761416,0.08019844110190759
90,-15.616912382924973,0.006610437882195652,0.0813045993913976
100,-16.606814952541985,0.039120518334180336,0.19778907536610899
